iter	Passed	Remaining
779	47222	13319
780	47259	13252
781	47296	13184
782	47335	13118
783	47371	13051
784	47454	12997
785	47766	13005
786	47853	12951
787	47907	12888
788	48002	12837
789	48076	12779
790	48151	12722
791	48255	12673
792	48374	12627
793	48446	12569
794	48512	12509
795	48591	12453
796	48671	12396
797	48753	12340
798	48820	12281
799	48871	12217
800	48941	12159
801	49006	12098
802	49069	12038
803	49144	11980
804	49211	11920
805	49290	11863
806	49361	11805
807	49439	11748
808	49507	11688
809	49624	11640
810	49734	11590
811	49840	11539
812	49929	11484
813	50000	11425
814	50071	11365
815	50124	11302
816	50193	11242
817	50268	11184
818	50314	11119
819	50355	11053
820	50407	10990
821	50442	10923
822	50482	10857
823	50521	10790
824	50567	10726
825	50611	10661
826	50662	10598
827	50722	10536
828	50799	10478
829	50867	10418
830	50944	10360
831	51023	10302
832	51098	10244
833	51161	10183
834	51207	10118
835	51254	10054
836	51308	9991
837	51347	9926
838	51404	9864
839	51451	9800
840	51498	9736
841	51535	9670
842	51591	9608
843	51634	9543
844	51692	9481
845	51759	9421
846	51816	9359
847	51861	9295
848	51907	9232
849	51950	9167
850	51994	9103
851	52040	9039
852	52089	8976
853	52130	8912
854	52172	8847
855	52212	8783
856	52254	8719
857	52292	8654
858	52335	8590
859	52384	8527
860	52421	8462
861	52466	8399
862	52545	8341
863	52607	8280
864	52667	8219
865	52713	8156
866	52771	8095
867	52848	8036
868	52933	7979
869	53017	7922
870	53118	7867
871	53217	7811
872	53251	7746
873	53289	7682
874	53338	7619
875	53390	7557
876	53434	7494
877	53476	7430
878	53521	7367
879	53570	7305
880	53622	7242
881	53677	7181
882	53741	7120
883	53834	7064
884	53891	7002
885	53932	6939
886	53974	6876
887	54019	6813
888	54080	6752
889	54133	6690
890	54173	6627
891	54210	6563
892	54252	6500
893	54304	6438
894	54376	6379
895	54462	6321
896	54529	6261
897	54576	6199
898	54641	6138
899	54689	6076
900	54741	6014
901	54802	5954
902	54846	5891
903	54905	5830
904	54987	5772
905	55051	5711
906	55124	5652
907	55166	5589
908	55203	5526
909	55244	5463
910	55286	5401
911	55328	5338
912	55368	5276
913	55409	5213
914	55447	5150
915	55494	5089
916	55683	5040
917	55762	4980
918	55821	4920
919	55863	4857
920	55927	4797
921	55966	4734
922	56032	4674
923	56093	4613
924	56146	4552
925	56194	4490
926	56237	4428
927	56280	4366
928	56320	4304
929	56371	4242
930	56415	4181
931	56451	4118
932	56491	4056
933	56539	3995
934	56593	3934
935	56642	3872
936	56689	3811
937	56749	3751
938	56811	3690
939	56850	3628
940	56899	3567
941	56945	3506
942	56985	3444
943	57032	3383
944	57099	3323
945	57141	3261
946	57188	3200
947	57229	3139
948	57270	3077
949	57316	3016
950	57371	2956
951	57418	2895
952	57459	2833
953	57516	2773
954	57565	2712
955	57610	2651
956	57672	2591
957	57726	2530
958	57780	2470
959	57828	2409
960	57876	2348
961	57940	2288
962	57987	2227
963	58028	2167
964	58082	2106
965	58119	2045
966	58159	1984
967	58198	1923
968	58236	1863
969	58274	1802
970	58324	1741
971	58360	1681
972	58398	1620
973	58437	1559
974	58496	1499
975	58569	1440
976	58647	1380
977	58712	1320
978	58767	1260
979	58808	1200
980	58864	1140
981	58906	1079
982	58956	1019
983	59004	959
984	59052	899
985	59091	839
986	59130	778
987	59195	718
988	59228	658
989	59266	598
990	59313	538
991	59355	478
992	59395	418
993	59436	358
994	59473	298
995	59525	239
996	59576	179
997	59633	119
998	59683	59
999	59742	0
